ID,LON_LAT,frname,year,month,month_str,area_sum,count_fires,count_roads,MO_population,aspect,veg_category,7_days_SUM_APCP,kpo,7_days_AVG_RH,7_days_AVG_TMP,7_days_AVG_WIND_SPEED,dist_to_rivers,dist_to_railway,dist_to_roads,elevation
125,103.0 53.0,Черемховское,2017,4,апрель,1731.0,9,3,9.2764585957,229.2659392761,Поля,110.9,4192.1930172093,63.0928125,11.3615,3.29625,15.2608341608,12.5360931371,1.502904348,520.6595744681
126,103.0 53.0,Черемховское,2017,6,июнь,46.0,1,1,9.2764585957,71.5650482178,Редколесье,23.1,306.6657448462,64.28125,24.6625,3.9375,15.2608341608,12.5360931371,1.502904348,520.6595744681
127,103.0 53.0,Черемховское,2017,8,август,43.0,1,1,9.2764585957,296.5650634766,Поля,10.4,104.7651898373,74.63125,24.78875,2.875,15.2608341608,12.5360931371,1.502904348,520.6595744681
128,103.0 53.0,Черемховское,2017,10,октябрь,26.0,1,1,9.2764585957,30.3236083984,Поля,1.2,127.8698595089,67.23125,5.41625,2.4625,15.2608341608,12.5360931371,1.502904348,520.6595744681
129,103.0 53.0,Черемховское,2018,4,апрель,136.0,4,3,9.2764585957,257.8007278858,Поля,40.7,284.1741544075,86.35546875,8.17375,2.915625,15.2608341608,12.5360931371,1.502904348,520.6595744681
130,103.0 53.0,Черемховское,2018,5,май,20.0,1,1,9.2764585957,180.0,Поля,10.3,425.539065605,64.646875,15.4775,3.4875,15.2608341608,12.5360931371,1.502904348,520.6595744681
131,103.0 53.0,Черемховское,2018,8,август,20.0,1,1,9.2764585957,85.4622268677,Поля,30.0,360.6814169217,78.128125,22.03,3.175,15.2608341608,12.5360931371,1.502904348,520.6595744681
132,103.0 53.0,Черемховское,2019,4,апрель,522.0,7,3,9.2764585957,329.0086608997,Поля,60.1,991.4689390665,74.636875,6.688625,3.25875,15.2608341608,12.5360931371,1.502904348,520.6595744681
135,103.0 53.0,Черемховское,2020,4,апрель,2419.0,15,5,9.2764585957,238.9533236779,Поля,162.0,1700.9978673588,81.3508333333,8.3859166667,3.0083333333,15.2608341608,12.5360931371,1.502904348,520.6595744681
136,103.0 53.0,Черемховское,2020,6,июнь,22.0,1,1,9.2764585957,40.2363586426,Редколесье,9.1,812.6801573586,61.246875,27.40375,2.4,15.2608341608,12.5360931371,1.502904348,520.6595744681
137,103.0 53.0,Черемховское,2020,7,июль,88.0,3,1,9.2764585957,69.5337836284,Поля,54.5,1549.5634275903,68.1875,25.4708333333,2.7416666667,15.2608341608,12.5360931371,1.502904348,520.6595744681
138,103.0 53.0,Черемховское,2021,4,апрель,42.0,2,1,9.2764585957,96.7897262573,Поля,23.0,90.729107631,79.996875,5.03125,3.25,15.2608341608,12.5360931371,1.502904348,520.6595744681
139,103.0 53.0,Черемховское,2021,10,октябрь,195.0,3,2,9.2764585957,75.7243578767,Пастбища,21.72,171.1055473743,85.4833333333,7.6433333333,2.2041666667,15.2608341608,12.5360931371,1.502904348,520.6595744681
140,103.0 53.0,Черемховское,2022,4,апрель,78.0,2,2,9.2764585957,245.470741272,Поля,29.5,148.307670587,79.134375,6.44375,3.30625,15.2608341608,12.5360931371,1.502904348,520.6595744681
141,103.0 53.0,Черемховское,2022,5,май,204.0,4,4,9.2764585957,82.6878273481,Пастбища,31.9,3029.0757522386,59.2203125,13.85125,3.55,15.2608341608,12.5360931371,1.502904348,520.6595744681
142,103.0 53.0,Черемховское,2022,6,июнь,135.0,2,2,9.2764585957,351.1316719055,Пастбища,42.4,952.0167607717,51.0046875,20.620625,3.975,15.2608341608,12.5360931371,1.502904348,520.6595744681
143,103.0 53.0,Черемховское,2022,7,июль,20.0,1,1,9.2764585957,254.1098480225,Поля,56.8,52.641463273,80.0625,21.68125,3.05,15.2608341608,12.5360931371,1.502904348,520.6595744681
